"id_messpunkt";"int4";"date_part";"date_part"
46357;3;2;8
36377;0;2;8
36377;1;2;8
34143;0;2;8
34143;1;2;8
46357;1;2;8
46357;1;2;8
36377;1;2;8
36377;1;2;8
46357;2;2;9
46357;2;2;9
34143;3;2;9
34143;2;2;9
46357;2;2;9
46357;2;2;9
46357;3;2;9
46357;3;2;9
34143;1;2;9
34143;2;2;9
46357;0;2;9
46357;0;2;9
36377;0;2;9
36377;0;2;9
36377;1;2;9
36377;1;2;9
46357;1;2;9
46357;1;2;9
34143;3;2;9
34143;3;2;9
46357;1;2;9
46357;1;2;9
46357;6;2;9
46357;5;2;9
36377;0;2;9
36377;0;2;9
34143;1;2;9
34143;1;2;9
46357;3;2;9
46357;3;2;9
36377;1;2;9
36377;1;2;9
46357;-563;2;10
46357;-563;2;10
46357;2;2;10
46357;2;2;10
34143;2;2;10
34143;2;2;10
46357;0;2;10
46357;0;2;10
46357;4;2;10
46357;4;2;10
34143;1;2;10
34143;1;2;10
46357;2;2;10
46357;2;2;10
36377;1;2;10
36377;1;2;10
36377;1;2;10
36377;1;2;10
46357;3;2;10
46357;4;2;10
34143;2;2;10
34143;2;2;10
46357;0;2;10
46357;0;2;10
46357;2;2;10
46357;2;2;10
36377;2;2;10
36377;1;2;10
34143;1;2;10
34143;1;2;10
46357;2;2;10
46357;3;2;10
36377;1;2;10
36377;1;2;10
46357;3;2;11
46357;4;2;11
34143;2;2;11
34143;2;2;11
46357;1;2;11
46357;1;2;11
46357;5;2;11
46357;6;2;11
34143;1;2;11
34143;1;2;11
46357;4;2;11
46357;4;2;11
36377;0;2;11
36377;0;2;11
36377;0;2;11
36377;0;2;11
34143;2;2;11
34143;2;2;11
46357;0;2;11
46357;0;2;11
46357;3;2;11
46357;3;2;11
34143;1;2;11
34143;1;2;11
36377;0;2;11
36377;0;2;11
34143;1;2;11
34143;1;2;11
46357;2;2;11
46357;2;2;11
36377;0;2;11
36377;0;2;11
46357;3;2;12
46357;3;2;12
34143;3;2;12
34143;3;2;12
34143;2;2;12
34143;2;2;12
46357;1;2;12
46357;1;2;12
34143;0;2;12
34143;0;2;12
34143;2;2;12
34143;1;2;12
46357;0;2;12
46357;0;2;12
36377;0;2;12
36377;0;2;12
36377;0;2;12
36377;0;2;12
46357;2;2;12
46357;1;2;12
34143;2;2;12
34143;2;2;12
34143;1;2;12
34143;1;2;12
46357;1;2;12
46357;1;2;12
46357;6;2;12
46357;6;2;12
34143;2;2;12
34143;2;2;12
36377;0;2;12
36377;0;2;12
34143;2;2;12
34143;1;2;12
46357;-1;2;12
