Filter;;;;;;;;;
Datum von:;06.03.2016;;;;;;;;
Datum bis:;06.03.2016;;;;;;;;
Stand:;07.03.2016 16:51:32;;;;;;;;
;;;;;;;;;
Zugnummer;Linie;Betriebstag;Ursachencode;Ursachen Bezeichnung;Ort;Ort Bezeichung;Uhrzeit;Verspätungsminuten;Verursacher Zugnr.
6918;S1ABY+;06.03.2016;95;Flügeln;MNF;Neufahrn (b Freising);7:00:00;2;6118
27307;;06.03.2016;93;Wende;NPA G;Passau Gbf;7:02:00;2;
58506;RB53FR-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NNP;Neuhaus (Pegnitz);7:04:00;3;
84102;ALXN+;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MNF;Neufahrn (b Freising);7:04:00;2;
6223;S2BY+;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MSB;Markt Schwaben;7:05:00;2;
5403;RE12+;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;MMW;Mittenwald;7:07:00;12;
59025;;06.03.2016;94;Anschluss;NWK;Wicklesgreuth;7:07:00;3;59069
6323;S3BY+;06.03.2016;84;Behörden;MUHU;Unterhaching                       (Üst);7:08:00;3;6323
6827;S8BY+;06.03.2016;95;Flügeln;MP;München-Pasing;7:08:00;3;8350
4205;IRE6+;06.03.2016;54;Verkehrliche Zugvorbereitung;TU;Ulm Hbf;7:09:00;2;4205
6225;S2BY+;06.03.2016;84;Behörden;MOP;München Ost Pbf;7:09:00;7;6225
79706;;06.03.2016;60;Umlauf-Einsatzplanung;NWDO;Weiden (Oberpf);7:09:00;4;79706
58006;;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;NVE;Veitshöchheim;7:10:00;3;
6825;S8BY+;06.03.2016;84;Behörden;MOP;München Ost Pbf;7:10:00;6;6225
39122;S1FR-;06.03.2016;21;Telekommunikationsanlagen;NHS;Hartmannshof;7:11:00;7;
6125;S1BY+;06.03.2016;84;Behörden;MOP;München Ost Pbf;7:11:00;6;6225
6325;S3BY+;06.03.2016;84;Behörden;MIT;München Isartor;7:11:00;3;6225
6425;S4BY+;06.03.2016;84;Behörden;MRP;München Rosenheimer Platz;7:11:00;5;6125
20872;;06.03.2016;57;Keine Meldung durch EVU;NMR;Marktredwitz;7:13:00;2;20872
6427;S4BY+;06.03.2016;95;Flügeln;MP;München-Pasing;7:13:00;3;8350
